행정구역,연도,구분,인구수
경기도 안산시 단원구 원곡동,2019,남,3841
경기도 안산시 단원구 원곡동,2019,남+여,6646
경기도 안산시 단원구 원곡동,2019,여,2805
경기도 안산시 단원구 원곡동,2020,남,3609
경기도 안산시 단원구 원곡동,2020,남+여,6272
경기도 안산시 단원구 원곡동,2020,여,2663
경기도 안산시 단원구 원곡동,2021,남,3471
경기도 안산시 단원구 원곡동,2021,남+여,6045
경기도 안산시 단원구 원곡동,2021,여,2574
경기도 안산시 단원구 원곡동,2022,남,3365
경기도 안산시 단원구 원곡동,2022,남+여,5908
경기도 안산시 단원구 원곡동,2022,여,2543
경기도 안산시 단원구 원곡동,2023,남,3182
경기도 안산시 단원구 원곡동,2023,남+여,5613
경기도 안산시 단원구 원곡동,2023,여,2431
경기도 안산시 단원구 원곡동,2024,남,3032
경기도 안산시 단원구 원곡동,2024,남+여,5367
경기도 안산시 단원구 원곡동,2024,여,2335
경기도 안산시 단원구 원곡동,2025,남,3010
경기도 안산시 단원구 원곡동,2025,남+여,5330
경기도 안산시 단원구 원곡동,2025,여,2320
경기도 안산시 단원구 중앙동,2016,남,10860
경기도 안산시 단원구 중앙동,2016,남+여,21884
경기도 안산시 단원구 중앙동,2016,여,11024
경기도 안산시 단원구 중앙동,2017,남,10666
경기도 안산시 단원구 중앙동,2017,남+여,21487
경기도 안산시 단원구 중앙동,2017,여,10821
경기도 안산시 단원구 중앙동,2018,남,12148
경기도 안산시 단원구 중앙동,2018,남+여,24502
경기도 안산시 단원구 중앙동,2018,여,12354
경기도 안산시 단원구 중앙동,2019,남,12953
경기도 안산시 단원구 중앙동,2019,남+여,26065
경기도 안산시 단원구 중앙동,2019,여,13112
경기도 안산시 단원구 중앙동,2020,남,12523
경기도 안산시 단원구 중앙동,2020,남+여,25138
경기도 안산시 단원구 중앙동,2020,여,12615
경기도 안산시 단원구 중앙동,2021,남,12227
경기도 안산시 단원구 중앙동,2021,남+여,24506
경기도 안산시 단원구 중앙동,2021,여,12279
경기도 안산시 단원구 중앙동,2022,남,11574
경기도 안산시 단원구 중앙동,2022,남+여,23298
경기도 안산시 단원구 중앙동,2022,여,11724
경기도 안산시 단원구 중앙동,2023,남,11759
경기도 안산시 단원구 중앙동,2023,남+여,23549
경기도 안산시 단원구 중앙동,2023,여,11790
경기도 안산시 단원구 중앙동,2024,남,12053
경기도 안산시 단원구 중앙동,2024,남+여,24288
경기도 안산시 단원구 중앙동,2024,여,12235
경기도 안산시 단원구 중앙동,2025,남,11695
경기도 안산시 단원구 중앙동,2025,남+여,23514
경기도 안산시 단원구 중앙동,2025,여,11819
경기도 안산시 단원구 초지동,2016,남,21956
경기도 안산시 단원구 초지동,2016,남+여,43008
경기도 안산시 단원구 초지동,2016,여,21052
